Date,Sales
1/1/2012,112
2/1/2012,118
3/1/2012,132
4/1/2012,129
5/1/2012,121
6/1/2012,135
7/1/2012,148
8/1/2012,148
9/1/2012,136
10/1/2012,119
11/1/2012,104
12/1/2012,118
1/1/2013,115
2/1/2013,126
3/1/2013,141
4/1/2013,135
5/1/2013,125
6/1/2013,149
7/1/2013,170
8/1/2013,170
9/1/2013,158
10/1/2013,133
11/1/2013,114
12/1/2013,140
1/1/2014,145
2/1/2014,150
3/1/2014,178
4/1/2014,163
5/1/2014,172
6/1/2014,178
7/1/2014,199
8/1/2014,199
9/1/2014,184
10/1/2014,162
11/1/2014,146
12/1/2014,166
1/1/2015,171
2/1/2015,180
3/1/2015,193
4/1/2015,181
5/1/2015,183
6/1/2015,218
7/1/2015,230
8/1/2015,242
9/1/2015,209
10/1/2015,191
11/1/2015,172
12/1/2015,194
1/1/2016,196
2/1/2016,196
3/1/2016,236
4/1/2016,235
5/1/2016,229
6/1/2016,243
7/1/2016,264
8/1/2016,272
9/1/2016,237
10/1/2016,211
11/1/2016,180
12/1/2016,201
1/1/2017,204
2/1/2017,188
3/1/2017,235
4/1/2017,227
5/1/2017,234
6/1/2017,264
7/1/2017,302
8/1/2017,293
9/1/2017,259
10/1/2017,229
11/1/2017,203
12/1/2017,229
1/1/2018,242
2/1/2018,233
3/1/2018,267
4/1/2018,269
5/1/2018,270
6/1/2018,315
7/1/2018,364
8/1/2018,347
9/1/2018,312
10/1/2018,274
11/1/2018,237
12/1/2018,278
1/1/2019,284
2/1/2019,277
3/1/2019,317
4/1/2019,313
5/1/2019,318
6/1/2019,374
7/1/2019,413
8/1/2019,405
9/1/2019,355
10/1/2019,306
11/1/2019,271
12/1/2019,306
1/1/2020,315
2/1/2020,301
3/1/2020,356
4/1/2020,348
5/1/2020,355
6/1/2020,422
7/1/2020,465
8/1/2020,467
9/1/2020,404
10/1/2020,347
11/1/2020,305
12/1/2020,336
1/1/2021,340
2/1/2021,318
3/1/2021,362
4/1/2021,348
5/1/2021,363
6/1/2021,435
7/1/2021,491
8/1/2021,505
9/1/2021,404
10/1/2021,359
11/1/2021,310
12/1/2021,337
1/1/2022,360
2/1/2022,342
3/1/2022,406
4/1/2022,396
5/1/2022,420
6/1/2022,472
7/1/2022,548
8/1/2022,559
9/1/2022,463
10/1/2022,407
11/1/2022,362
12/1/2022,405
1/1/2023,417
2/1/2023,391
3/1/2023,419
4/1/2023,461
5/1/2023,472
6/1/2023,535
7/1/2023,622
8/1/2023,606
9/1/2023,508
10/1/2023,461
11/1/2023,390
12/1/2023,432
